id_reg_nat,time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),id_area
1424,2021-10-11,20.0,0.0,25.8,66,4.08,2
1425,2021-10-12,19.1,0.0,16.2,71,2.94,2
1426,2021-10-13,18.4,0.9,17.2,56,3.1,2
1427,2021-10-14,18.7,0.8,21.0,47,3.1,2
1428,2021-10-15,17.9,0.0,16.7,84,3.21,2
1429,2021-10-16,18.4,0.0,11.3,299,3.11,2
1430,2021-10-17,20.3,0.0,11.5,54,1.89,2
1431,2021-10-18,19.8,0.0,22.5,59,3.25,2
1432,2021-10-19,18.5,0.0,21.5,59,3.55,2
1433,2021-10-20,20.8,0.0,15.3,120,3.84,2
1434,2021-10-21,21.3,0.0,14.8,247,3.88,2
1435,2021-10-22,18.5,0.0,18.9,31,2.84,2
1436,2021-10-23,17.5,13.8,17.1,352,1.82,2
1437,2021-10-24,17.2,1.1,13.8,267,2.52,2
1438,2021-10-25,17.1,0.6,11.8,307,2.33,2
1439,2021-10-26,17.7,0.0,21.3,68,2.32,2
1440,2021-10-27,18.1,0.0,18.6,71,2.88,2
1441,2021-10-28,16.4,0.0,14.1,71,2.33,2
1442,2021-10-29,16.9,0.0,11.2,276,2.51,2
1443,2021-10-30,20.1,0.0,18.0,260,3.19,2
1444,2021-10-31,22.9,0.0,29.6,258,4.96,2
1445,2021-11-01,23.0,0.0,36.5,257,4.37,2
1446,2021-11-02,20.0,3.6,21.3,267,2.13,2
1447,2021-11-03,17.3,29.6,32.4,254,1.18,2
1448,2021-11-04,14.2,4.0,14.5,252,1.87,2
1449,2021-11-05,11.8,9.3,24.1,262,1.45,2
1450,2021-11-06,11.2,31.6,27.3,227,1.18,2
1451,2021-11-07,13.5,27.8,35.8,315,1.2,2
1452,2021-11-08,12.7,3.7,20.3,242,1.29,2
1453,2021-11-09,12.4,21.8,25.3,254,0.57,2
1454,2021-11-10,13.7,11.1,34.3,243,1.27,2
1455,2021-11-11,14.6,2.1,16.8,246,1.96,2
1456,2021-11-12,14.2,7.5,32.3,243,1.7,2
1457,2021-11-13,14.6,8.0,19.3,255,1.28,2
1458,2021-11-14,14.2,2.1,12.5,248,1.17,2
1459,2021-11-15,12.7,26.7,21.8,267,0.94,2
1460,2021-11-16,13.8,22.2,24.5,294,1.36,2
1461,2021-11-17,13.7,16.3,15.9,346,0.79,2
1462,2021-11-18,14.2,2.4,16.1,79,1.48,2
1463,2021-11-19,13.1,0.0,17.7,72,1.66,2
1464,2021-11-20,15.8,0.3,10.8,138,1.61,2
1465,2021-11-21,14.7,2.7,22.9,247,1.85,2
1466,2021-11-22,13.1,0.8,15.5,258,1.24,2
1467,2021-11-23,13.5,0.3,10.0,200,1.81,2
1468,2021-11-24,12.9,8.0,20.2,235,1.63,2
1469,2021-11-25,12.3,0.1,25.3,241,2.09,2
1470,2021-11-26,11.7,2.6,20.9,245,1.33,2
1471,2021-11-27,11.5,3.2,27.6,240,1.89,2
1472,2021-11-28,8.8,15.6,28.1,253,1.28,2
1473,2021-11-29,13.2,2.0,38.2,262,2.48,2
1474,2021-11-30,12.6,0.8,16.8,247,1.54,2
1475,2021-12-01,11.4,0.0,14.6,232,1.72,2
1476,2021-12-02,11.1,18.6,23.0,249,0.99,2
1477,2021-12-03,9.7,9.2,23.7,288,1.23,2
1478,2021-12-04,11.3,0.0,18.0,238,2.17,2
1479,2021-12-05,12.3,3.1,28.6,266,2.09,2
1480,2021-12-06,12.4,1.1,30.6,297,2.93,2
1481,2021-12-07,12.8,0.0,15.5,238,2.03,2
1482,2021-12-08,14.2,8.8,30.9,245,2.53,2
1483,2021-12-09,13.1,0.1,32.7,279,3.25,2
1484,2021-12-10,14.3,0.0,30.9,249,2.57,2
1485,2021-12-11,13.2,2.8,29.6,282,1.25,2
1486,2021-12-12,11.4,0.2,12.6,98,1.38,2
1487,2021-12-13,10.3,0.0,18.3,73,1.48,2
1488,2021-12-14,8.2,0.0,10.8,52,1.36,2
1489,2021-12-15,9.9,0.0,15.3,73,1.29,2
1490,2021-12-16,9.7,0.0,17.1,71,1.47,2
1491,2021-12-17,9.7,0.0,13.2,65,1.42,2
1492,2021-12-18,11.2,0.5,15.8,59,1.36,2
1493,2021-12-19,10.6,0.0,12.2,73,1.27,2
1494,2021-12-20,10.5,0.0,10.3,255,1.29,2
1495,2021-12-21,12.0,0.0,9.2,232,1.44,2
1496,2021-12-22,12.7,0.0,17.4,263,1.49,2
1497,2021-12-23,12.0,0.0,9.2,196,1.34,2
1498,2021-12-24,13.7,0.0,10.1,213,1.69,2
1499,2021-12-25,14.7,0.0,16.4,239,1.82,2
1500,2021-12-26,15.7,0.0,26.0,248,1.89,2
1501,2021-12-27,16.5,0.0,25.7,253,2.14,2
1502,2021-12-28,15.7,0.0,23.7,259,1.96,2
1503,2021-12-29,13.9,0.0,14.1,256,1.74,2
1504,2021-12-30,12.2,0.0,10.1,297,1.48,2
1505,2021-12-31,11.2,0.0,9.7,36,1.36,2
1506,2022-01-01,11.1,0.0,8.7,47,1.29,2
1507,2022-01-02,10.4,0.0,8.7,7,1.28,2
1508,2022-01-03,10.9,0.0,7.9,29,1.36,2
1509,2022-01-04,11.8,0.0,16.1,273,1.71,2
1510,2022-01-05,12.8,1.0,31.8,258,2.61,2
1511,2022-01-06,8.9,7.4,18.2,244,0.97,2
1512,2022-01-07,8.2,0.8,15.3,266,1.28,2
1513,2022-01-08,9.7,0.0,23.0,253,1.8,2
1514,2022-01-09,12.2,0.0,31.0,257,2.84,2
1515,2022-01-10,14.5,1.1,31.0,275,1.78,2
1516,2022-01-11,11.2,0.5,18.3,11,1.62,2
1517,2022-01-12,9.9,0.5,17.8,26,1.36,2
1518,2022-01-13,9.5,1.7,8.5,45,1.14,2
1519,2022-01-14,8.5,0.0,14.3,67,1.4,2
1520,2022-01-15,8.7,0.0,14.3,65,1.5,2
1521,2022-01-16,8.6,0.0,10.7,78,1.5,2
1522,2022-01-17,8.7,0.0,11.1,94,1.56,2
1523,2022-01-18,8.1,0.0,9.7,99,1.57,2
1524,2022-01-19,9.2,0.0,8.5,255,1.73,2
1525,2022-01-20,8.7,0.0,9.6,343,1.58,2
1526,2022-01-21,8.7,0.0,13.6,59,1.58,2
1527,2022-01-22,9.3,0.4,14.2,75,1.34,2
1528,2022-01-23,8.4,0.0,18.5,73,1.69,2
1529,2022-01-24,8.6,0.0,13.4,103,1.8,2
1530,2022-01-25,9.0,0.0,20.6,65,1.83,2
1531,2022-01-26,11.2,0.0,11.8,40,1.88,2
1532,2022-01-27,10.6,0.0,11.9,331,1.99,2
1533,2022-01-28,9.2,0.0,15.3,43,1.86,2
1534,2022-01-29,10.0,0.0,8.5,289,1.96,2
1535,2022-01-30,9.0,0.0,9.8,187,1.87,2
1536,2022-01-31,11.2,0.0,21.2,271,2.4,2
1537,2022-02-01,10.6,0.9,16.9,13,1.38,2
1538,2022-02-02,11.0,0.0,16.1,254,2.3,2
1539,2022-02-03,14.4,0.0,17.1,218,2.8,2
1540,2022-02-04,12.8,0.0,9.5,269,2.32,2
1541,2022-02-05,12.5,0.0,16.8,53,1.87,2
1542,2022-02-06,12.4,0.0,22.4,66,1.82,2
1543,2022-02-07,10.4,0.0,12.2,58,1.9,2
1544,2022-02-08,9.8,0.0,15.0,81,2.1,2
1545,2022-02-09,10.6,0.0,9.9,53,2.12,2
1546,2022-02-10,10.5,0.0,13.7,321,2.08,2
1547,2022-02-11,10.7,0.2,12.2,31,1.58,2
1548,2022-02-12,10.9,0.3,13.5,63,1.54,2
1549,2022-02-13,10.3,0.0,12.3,1,2.0,2
1550,2022-02-14,11.4,3.3,21.7,266,2.46,2
1551,2022-02-15,11.2,0.5,18.6,269,2.25,2
1552,2022-02-16,11.3,0.0,21.5,256,2.64,2
