ID_IAREA,NAME,LATITUDE,LONGITUDE,COUNTRY,id_reg_nat,time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,id_area
1,BHOPAL,23.25469,77.40289,INDIA,158,2021-04-25,30,0,14.6,19,8.25,1
1,BHOPAL,23.25469,77.40289,INDIA,159,2021-04-26,30.5,0,14,22,8.46,1
1,BHOPAL,23.25469,77.40289,INDIA,160,2021-04-27,31.6,0,13.6,109,7.54,1
1,BHOPAL,23.25469,77.40289,INDIA,161,2021-04-28,32.5,0,15.2,231,7.58,1
1,BHOPAL,23.25469,77.40289,INDIA,162,2021-04-29,32.7,0,17.7,243,8.16,1
1,BHOPAL,23.25469,77.40289,INDIA,163,2021-04-30,33,0,16.5,219,7.99,1
1,BHOPAL,23.25469,77.40289,INDIA,164,2021-05-01,32.3,0,23.1,240,8.64,1
1,BHOPAL,23.25469,77.40289,INDIA,165,2021-05-02,29.6,0.3,25.8,252,6.5,1
1,BHOPAL,23.25469,77.40289,INDIA,166,2021-05-03,29.6,0,16.3,235,7.27,1
1,BHOPAL,23.25469,77.40289,INDIA,167,2021-05-04,31.4,0,14.3,270,7.64,1
1,BHOPAL,23.25469,77.40289,INDIA,168,2021-05-05,32.9,0,16.2,290,9.02,1
1,BHOPAL,23.25469,77.40289,INDIA,169,2021-05-06,33.3,0,20.7,255,8.51,1
1,BHOPAL,23.25469,77.40289,INDIA,170,2021-05-07,33.1,0,15,281,7.78,1
1,BHOPAL,23.25469,77.40289,INDIA,171,2021-05-08,32.5,0,15.5,125,6.66,1
1,BHOPAL,23.25469,77.40289,INDIA,172,2021-05-09,31.4,0,20.4,124,6.62,1
1,BHOPAL,23.25469,77.40289,INDIA,173,2021-05-10,32.4,0,14.8,254,7.09,1
1,BHOPAL,23.25469,77.40289,INDIA,174,2021-05-11,32.3,0,19.4,273,9,1
1,BHOPAL,23.25469,77.40289,INDIA,175,2021-05-12,31.9,0,19.2,275,8.56,1
1,BHOPAL,23.25469,77.40289,INDIA,176,2021-05-13,30.9,0,18.7,288,7.09,1
1,BHOPAL,23.25469,77.40289,INDIA,177,2021-05-14,32.1,0,13.6,234,7.01,1
1,BHOPAL,23.25469,77.40289,INDIA,178,2021-05-15,33.4,0,19.5,173,7.61,1
1,BHOPAL,23.25469,77.40289,INDIA,179,2021-05-16,31.6,0.6,20.8,107,7.38,1
1,BHOPAL,23.25469,77.40289,INDIA,180,2021-05-17,27.2,6.7,19.1,92,4.14,1
1,BHOPAL,23.25469,77.40289,INDIA,181,2021-05-18,28.6,2,22.8,157,5.6,1
1,BHOPAL,23.25469,77.40289,INDIA,182,2021-05-19,27.4,2.9,28.2,212,5.33,1
1,BHOPAL,23.25469,77.40289,INDIA,183,2021-05-20,27.1,0.3,22.9,292,5.95,1
1,BHOPAL,23.25469,77.40289,INDIA,184,2021-05-21,30.5,0,15.5,272,6.2,1
1,BHOPAL,23.25469,77.40289,INDIA,185,2021-05-22,30.7,0,22.1,290,6.32,1
1,BHOPAL,23.25469,77.40289,INDIA,186,2021-05-23,30.9,0,21.7,312,6.81,1
1,BHOPAL,23.25469,77.40289,INDIA,187,2021-05-24,30.7,0,20.1,346,8.28,1
1,BHOPAL,23.25469,77.40289,INDIA,188,2021-05-25,32.2,0,24.4,330,9.35,1
1,BHOPAL,23.25469,77.40289,INDIA,189,2021-05-26,32.8,0,22.8,310,8.62,1
1,BHOPAL,23.25469,77.40289,INDIA,190,2021-05-27,32.9,0,23.2,299,8.49,1
1,BHOPAL,23.25469,77.40289,INDIA,191,2021-05-28,33.5,0,17.6,303,7.79,1
