,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
166,1970-06-15 18:30:00,26.1835,20.8,10.948973,3.0085132
167,1970-06-16 18:30:00,27.82725,2.5999994,16.135872,3.8921978
168,1970-06-17 18:30:00,28.981417,1.7,15.124284,5.6577315
169,1970-06-18 18:30:00,28.7835,0.9000001,15.546833,5.536613
170,1970-06-19 18:30:00,29.57933,0.0,16.394829,5.91068
171,1970-06-20 18:30:00,29.098078,0.0,16.62249,6.1220975
172,1970-06-21 18:30:00,28.61683,0.7,18.03237,6.1652665
173,1970-06-22 18:30:00,28.541832,0.3,18.057508,5.6269016
174,1970-06-23 18:30:00,28.83558,0.1,15.315873,5.791482
175,1970-06-24 18:30:00,29.441835,4.2999997,12.287555,5.5690928
176,1970-06-25 18:30:00,28.341833,7.6,16.595179,4.601028
177,1970-06-26 18:30:00,26.085585,19.699999,14.386494,2.583978
178,1970-06-27 18:30:00,25.746,3.0,15.683776,3.1271026
179,1970-06-28 18:30:00,25.360586,7.6000004,15.273505,2.5385857
180,1970-06-29 18:30:00,25.221,10.9,12.287555,1.8818954
181,1970-06-30 18:30:00,25.58142,16.2,13.217443,2.5559576
182,1970-07-01 18:30:00,24.568914,25.5,17.388409,1.8952109
183,1970-07-02 18:30:00,23.458498,27.799997,23.34455,0.890429
184,1970-07-03 18:30:00,24.806417,9.900002,24.923338,2.3091795
185,1970-07-04 18:30:00,25.691832,3.6,26.649727,4.0278597
186,1970-07-05 18:30:00,25.864752,0.5,17.811815,4.082786
187,1970-07-06 18:30:00,25.05642,2.6000001,14.799459,2.4244747
188,1970-07-07 18:30:00,25.114748,5.3,13.979872,2.5327082
189,1970-07-08 18:30:00,25.15017,22.300003,13.363711,2.0524995
190,1970-07-09 18:30:00,25.083502,9.499999,19.45333,1.9795746
191,1970-07-10 18:30:00,23.977247,13.2,19.386593,0.808987
192,1970-07-11 18:30:00,26.5085,1.0,24.122683,3.3393393
193,1970-07-12 18:30:00,26.860586,0.0,20.523157,4.119968
194,1970-07-13 18:30:00,26.45225,0.1,20.275383,4.4832344
195,1970-07-14 18:30:00,26.383501,0.5,23.377836,4.3452706
196,1970-07-15 18:30:00,26.185585,0.5,22.253124,4.256518
197,1970-07-16 18:30:00,26.20433,0.5,19.0392,4.3095236
198,1970-07-17 18:30:00,26.289751,0.9000001,16.039202,4.45764
199,1970-07-18 18:30:00,27.046,0.3,18.175545,4.69632
200,1970-07-19 18:30:00,27.035583,0.70000005,20.570463,4.2481647
201,1970-07-20 18:30:00,26.46058,0.3,17.10284,3.7148912
202,1970-07-21 18:30:00,26.639753,1.4000001,19.959719,3.811766
203,1970-07-22 18:30:00,26.548086,0.4,20.929596,4.252929
204,1970-07-23 18:30:00,27.033503,0.6,17.673029,4.6099224
205,1970-07-24 18:30:00,27.14392,0.0,17.731598,4.870109
206,1970-07-25 18:30:00,26.931417,0.3,18.733839,4.0016108
207,1970-07-26 18:30:00,26.968918,0.4,12.819235,4.72377
208,1970-07-27 18:30:00,27.518919,3.7999997,13.797913,4.320699
209,1970-07-28 18:30:00,25.291834,18.199999,18.806337,2.583423
210,1970-07-29 18:30:00,24.548086,20.300001,14.84318,2.2159731
211,1970-07-30 18:30:00,24.825165,14.099999,11.966954,1.7789671
212,1970-07-31 18:30:00,24.210585,18.099998,14.830076,1.534064
213,1970-08-01 18:30:00,24.225168,26.1,16.62249,1.9097494
214,1970-08-02 18:30:00,25.381416,3.2,17.057314,3.5722878
215,1970-08-03 18:30:00,24.900164,6.6,12.429127,2.7780335
216,1970-08-04 18:30:00,25.960585,3.8999996,14.044615,2.981489
217,1970-08-05 18:30:00,26.387667,3.3999996,11.212135,3.5169668
218,1970-08-06 18:30:00,25.87725,17.6,11.592895,3.2423313
219,1970-08-07 18:30:00,26.031418,6.3,9.449572,3.181165
220,1970-08-08 18:30:00,25.185583,13.000001,13.18308,2.348487
221,1970-08-09 18:30:00,25.114754,22.099998,11.720751,2.5946627
222,1970-08-10 18:30:00,24.754333,11.200001,14.386494,2.3627577
223,1970-08-11 18:30:00,25.198084,14.599999,15.273505,2.1480331
224,1970-08-12 18:30:00,23.906418,35.0,15.273505,0.8681819
225,1970-08-13 18:30:00,25.118917,5.399999,12.979984,3.330227
226,1970-08-14 18:30:00,26.058502,1.9000001,13.009903,3.802948
227,1970-08-15 18:30:00,25.541832,7.4000006,16.179985,2.8959763
228,1970-08-16 18:30:00,24.81475,12.199999,10.514218,2.1565166
229,1970-08-17 18:30:00,25.333498,9.099999,17.713316,2.67662
230,1970-08-18 18:30:00,26.01267,8.8,20.991426,3.7966475
231,1970-08-19 18:30:00,25.264753,8.6,20.12461,3.2214015
232,1970-08-20 18:30:00,25.435583,5.8,10.931203,3.4001791
233,1970-08-21 18:30:00,24.118917,31.799997,14.77755,1.4540099
234,1970-08-22 18:30:00,24.079336,13.200002,18.328207,1.8103403
235,1970-08-23 18:30:00,24.2835,7.5,22.17144,1.9754807
236,1970-08-24 18:30:00,24.152246,11.000002,19.64558,1.6692992
237,1970-08-25 18:30:00,23.577253,7.499999,18.214718,1.3212363
238,1970-08-26 18:30:00,23.143919,13.5,18.278645,1.0184462
239,1970-08-27 18:30:00,24.16475,9.799999,18.335276,1.5433456
240,1970-08-28 18:30:00,23.448082,15.400001,16.78156,0.8075643
241,1970-08-29 18:30:00,23.68767,16.8,22.35481,1.0219368
242,1970-08-30 18:30:00,23.500166,15.5,20.5484,1.3844641
243,1970-08-31 18:30:00,23.485582,8.3,18.692286,1.7168304
244,1970-09-01 18:30:00,23.754335,11.200001,12.984975,1.2744875
245,1970-09-02 18:30:00,24.473085,4.7,11.770403,2.256243
246,1970-09-03 18:30:00,24.060583,32.800003,21.9718,2.4192784
247,1970-09-04 18:30:00,23.596,21.5,18.289274,1.5212389
