date,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsb_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,latitude,longitude
20-03-10,Ain Taya,0.0266846784545729,287.50912615458174,0.0132205672368096,1.2808255488513016e-06,9.79781891980262e-06,0.0,1.3562941823389944e-05,626.812078857422,-59.24450133641561,-4.275574414928754,79.36403423945107,33.45299560228984,0.0,0.0,1.9249160924476412e-08,0.0,287.50912615458174,842.5562133789062,215.7442376454671,4.291771697998047,0.0,167.78340276082355,2.484297781298513e-06,842.5695254007975,36.79276,3.05136
20-03-11,Ain Taya,0.0176292651410525,289.6950428009033,0.0007115430208311105,5.65700999377583e-09,1.3123604727146206e-05,0.0,1.7992581706494094e-05,626.4948181152344,-71.31794773737589,8.803959699471791,51.40472882588704,44.37870512008668,0.0,0.0,0.0,0.0,289.6950428009033,841.4209241231283,214.92605832417803,4.211667355895043,0.0,175.91140715281168,4.863320054937503e-06,841.421590677897,36.79276,3.05136
20-03-12,Ain Taya,0.0232247615388284,293.2572659810384,0.0003783152538138286,2.369688909912663e-09,1.8101329472604752e-05,0.0,2.4971628045022955e-05,626.1482381184895,-72.29538243611654,19.831865509351093,20.317374237378434,61.592518663406366,0.0,0.0,0.0,0.0,293.2572659810384,839.8287350972493,213.68052673339844,4.113678201039632,0.0,174.04883073170976,6.8679290109230354e-06,839.8291158040364,36.79276,3.05136
20-03-13,Ain Taya,0.0235716646537184,293.2885416666666,0.002758135687327,3.5232193059305435e-08,1.4492842111242984e-05,0.0,1.8492538879399943e-05,625.7299812316894,-55.584466425577794,6.395961179335912,43.240678485234575,45.61184902191162,0.0,0.0,2.437330686722028e-08,0.0,293.2885416666666,837.9078389485677,212.1778490066528,4.064662742614746,0.0,150.82850697835286,3.964466073587876e-06,837.9105850219727,36.79276,3.05136
20-03-14,Ain Taya,0.0272658519912511,290.5697301228841,0.0215979069471359,2.1505863150158194e-06,5.985534452671952e-06,0.0,9.506529780386092e-06,625.2398592631023,-25.808263770739234,-5.129897014300028,65.38512859344482,23.447854208946232,0.0,0.0,5.7685484566860626e-08,0.0,290.5697301228841,837.3205968221029,212.0807149251302,4.274940175811449,0.0,109.50671854019166,1.370408394526142e-06,837.3421656290691,36.79276,3.05136
20-03-15,Ain Taya,0.0301791419197494,291.1431847890218,0.0130072300943235,1.4747066060749604e-06,9.695618928162729e-06,0.0,1.3570524140504855e-05,624.7495775858561,-47.215642547607416,4.750659931699435,70.67025426228841,33.471697767575584,0.0,0.0,1.432192032820486e-07,0.0,291.1431847890218,836.9115028381348,212.16193866729736,4.26769506931305,0.0,156.1142053604126,2.400198101781825e-06,836.9245234171549,36.79276,3.05136
20-03-16,Ain Taya,0.0193178567336872,291.72994524637863,0.0324755885638296,2.9849197034081958e-06,9.90318124915272e-06,0.0,1.5341199491558656e-05,624.2798840840657,-38.99470903078715,2.8427116105953854,58.75748098691304,37.83906774520874,0.0,0.0,2.139199541062453e-07,0.0,291.72994524637863,836.3918090820312,212.11198253631596,4.265121598045031,0.0,138.43152974446613,2.4530994172285623e-06,836.4243751525878,36.79276,3.05136
20-03-17,Ain Taya,0.0273790964391082,290.6310440063476,0.0631804263064017,5.310345773068548e-06,6.511271271847363e-06,0.0,1.313387610556068e-05,623.8259549458821,-14.762112836043038,-1.4068056335051855,56.246494722366336,32.39470739364624,0.0,0.0,7.30812677574022e-07,0.0,290.6310440063476,837.553530629476,213.72767391204832,4.562791393200556,0.0,101.99614499409994,1.3122594358113322e-06,837.6168291727702,36.79276,3.05136
20-03-18,Ain Taya,0.0393573606852441,291.14040196736653,0.0132610935989456,1.3781203084780222e-06,7.76490147321359e-06,0.0,1.1542652172617331e-05,623.4438191731771,-29.507082001368207,0.8957167269041141,92.89052486419678,28.46994886398316,0.0,0.0,8.13336531753824e-08,0.0,291.14040196736653,837.4055572509766,213.9617144266764,4.310801011323929,0.0,151.76200650533042,2.3996297035940485e-06,837.4187899271648,36.79276,3.05136
20-03-19,Ain Taya,0.0489210403524339,290.82417246500654,0.0077411092041681,9.332000381334636e-07,8.594371460427888e-06,0.0,1.2258143582736616e-05,623.0878776550293,-45.87504898707072,0.5841505145654082,91.04835990269976,30.23471493721008,0.0,0.0,2.0991284828871436e-08,0.0,290.82417246500654,836.7867098490397,213.6988899230957,4.257590320706367,0.0,167.74246807098388,2.730573403179429e-06,836.7944852193197,36.79276,3.05136
20-03-20,Ain Taya,0.036221869282114,291.22687199910484,0.0129653196122186,1.0265825648521818e-06,9.61001278672787e-06,0.0,1.3853539659673214e-05,622.7272870381673,-52.470142364501946,2.423881375789642,85.86349376042685,34.169756714502974,0.0,0.0,1.4589469271205265e-07,0.0,291.22687199910484,835.9831136067709,213.25582656860348,4.260000365972519,0.0,174.92908274332683,3.216945352354136e-06,835.9960665384929,36.79276,3.05136
20-03-21,Ain Taya,0.0294066806867097,289.60902150472003,0.0616537548291186,7.422754631155234e-06,8.532988348027478e-06,0.0,1.7069554784635937e-05,622.3100969950357,-23.98713205655416,-6.777528103192648,62.359981568654376,42.10205562909444,0.0,0.0,1.7582610145912743e-06,0.0,289.60902150472003,837.5958175659179,215.2857317606608,4.780682196219763,0.0,121.66575241088869,1.1138113213367736e-06,837.657474009196,36.79276,3.05136
20-03-22,Ain Taya,0.0273399015034859,289.4721886952718,0.0305671816226094,2.6453760663495518e-06,1.0627907848477965e-05,0.0,1.668266184727448e-05,622.0110460917155,-51.56773718198141,-2.884004970391591,64.82581947644552,41.14778817494711,0.0,0.0,8.040175769608028e-08,0.0,289.4721886952718,838.3417055765789,216.3305643717448,4.36665053764979,0.0,154.65566024780273,3.4093787898351973e-06,838.3721618652344,36.79276,3.05136
20-03-23,Ain Taya,0.0364992614525059,288.9591501871745,0.0230548525461927,5.340230183037419e-06,9.60027748912277e-06,0.0,1.650755208023232e-05,621.769078318278,-36.163484477996825,-1.17361083800594,27.252024221420285,40.715874687830606,0.0,0.0,5.7529670094425e-07,0.0,288.9591501871745,838.2798805236816,216.5108149210612,4.55225546558698,0.0,102.9644726117452,1.5670435606314942e-06,838.3029403686523,36.79276,3.05136
20-03-24,Ain Taya,0.065622626338154,288.7700640360514,0.0345705423193673,7.391432433223598e-06,8.252341056428728e-06,0.0,1.6589765884115575e-05,621.5415270487467,-16.237892309824627,-6.023193893829982,35.02562082608541,40.9186593691508,0.0,0.0,1.129267061514838e-05,0.0,288.7700640360514,840.8952898661297,219.3538964589437,5.131871604919434,0.0,86.15364414850872,9.45992037297098e-07,840.9299769083658,36.79276,3.05136
20-03-25,Ain Taya,0.0544824994324396,284.8311307271322,0.0269374664096782,6.931426382076704e-06,1.1423150105353368e-05,0.0,1.977889788425576e-05,621.8130762736002,-29.853898167610165,-21.53328681786855,64.15950932502747,48.784654935201,0.0,0.0,3.4516944490784835e-06,0.0,284.8311307271322,849.0895238240561,227.27659269968663,5.063881486654282,0.0,121.25343046188355,1.424321071160269e-06,849.1166056315104,36.79276,3.05136
20-03-26,Ain Taya,0.0347882446832954,285.0249010721842,0.0504612151533365,7.472156643946922e-06,1.0871024941631429e-05,0.0,1.9980927754659204e-05,622.5003908793132,-32.573366586367285,-7.0275756080945335,47.296022494634,49.282961988449095,0.0,0.0,7.270979500617613e-06,0.0,285.0249010721842,851.2739730834962,228.7735205332438,5.154090537627538,0.0,122.12924302419027,1.6377465996697538e-06,851.32439549764,36.79276,3.05136
20-03-27,Ain Taya,0.030458405551811,286.43664639790853,0.0206214937536666,2.12571367039042e-06,1.0388829279387814e-05,0.0,1.5619947858643476e-05,623.5105489095052,-36.476967398325606,-2.4243594964345294,40.84446245829264,38.526599629720046,0.0,0.0,4.859399245956316e-08,0.0,286.43664639790853,854.1071207682293,230.59654788970948,4.678583006064097,0.0,113.42553380330403,3.1054034659897903e-06,854.1277379353841,36.79276,3.05136
20-03-28,Ain Taya,0.0263909156822289,286.7771954854329,0.0187548997734362,2.0454240072353967e-06,1.0605197818828552e-05,0.0,1.6606028604352712e-05,624.4460645039876,-52.03825368881226,-3.5661961287260056,77.45032809575399,40.9587700843811,0.0,0.0,1.2954888086724737e-07,0.0,286.7771954854329,853.2351590474445,228.78910878499343,4.617828112840653,0.0,166.87799313863115,3.955407228772856e-06,853.2539344787597,36.79276,3.05136
20-03-29,Ain Taya,0.0255034377798438,286.5219724019368,0.0405361514072865,6.027479681354937e-06,9.395781516256345e-06,0.0,1.8086051280382284e-05,625.1671785990396,-44.82129530906678,-3.5018309652805324,67.0486894607544,44.60924715995789,0.0,0.0,6.445161441585393e-07,0.0,286.5219724019368,853.3261390686035,228.15891138712567,4.794025083382925,0.0,152.9775058110555,2.6627897758165398e-06,853.3666364034018,36.79276,3.05136
20-03-30,Ain Taya,0.0254360905149951,289.3738344828288,0.0077085527901848,2.8100879324218415e-07,1.5322985965819192e-05,0.0,2.4130311741525167e-05,625.7885800679525,-64.68567832310994,11.803243398666382,60.1711876074473,59.5174125512441,0.0,0.0,5.960025978533438e-10,0.0,289.3738344828288,852.6004119873046,226.81174551645915,4.489467850327491,0.0,196.189959081014,8.526317700822497e-06,852.6080268859863,36.79276,3.05136
20-03-31,Ain Taya,0.0363087982870638,290.7930931091309,0.0106348370473521,2.4766486442710327e-06,1.734882874491935e-05,0.0,2.6246286544543785e-05,626.1336275736492,-45.433563296000166,6.133079262574514,13.97904687722524,64.73646581967672,0.0,0.0,2.505360448878946e-07,0.0,290.7930931091309,851.0381856282552,224.9045969645182,4.489187116424242,0.0,130.2795307477315,6.420806973513512e-06,851.0488321940104,36.79276,3.05136
20-04-01,Ain Taya,0.0160718569338011,290.1006290435791,0.0294753313297405,2.497935636824877e-06,1.0218834650762194e-05,0.0,1.7054831005225424e-05,626.2997411092123,-45.47559556961059,1.7405307352542876,56.48139767646789,42.06573778788248,0.0,0.0,6.737548029415545e-07,0.0,290.1006290435791,850.5089518229166,224.2092187245687,4.683850920200348,0.0,145.76291732788084,4.338060479843383e-06,850.5384145100912,36.79276,3.05136
20-04-02,Ain Taya,0.0432160314638167,288.3773980458577,0.0368718364120771,4.724137390136699e-06,1.0997976551152533e-05,0.0,1.9347469598566623e-05,626.4469571431479,-51.94876319567362,-6.759496414661409,76.71095663706461,47.72053260803222,0.0,0.0,5.611746323334424e-07,0.0,288.3773980458577,850.8285016377766,224.3815444946289,4.667642575502396,0.0,169.6168025334676,3.625356232343317e-06,850.8653905232746,36.79276,3.05136
