date,city,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label
23-02-13,Baraki,0.0566507432543234,0.10400592635031608,0.07152052206879976,0.03739987264739902,0.1644916651960801,0.05546425445149046,0.33184388989480085,0.04659202464869174,0.03614068374629113,4.776627653488768
23-02-14,Baraki,,,,,,,,,,
23-02-15,Baraki,,,,,,,,,,
23-02-16,Baraki,0.06406565997989934,0.1754204091458881,0.06440407399209551,0.037166372782877495,0.11628750738453146,0.09077878777694674,0.2310466078561197,0.06924462570813719,0.03621954059447484,4.0553980752405945
23-02-17,Baraki,,,,,,,,,,
23-02-18,Baraki,0.05624919481461394,0.09181664702346133,0.07399773327107832,0.03773995199750193,0.1740235397371871,0.05853796739760928,0.3253671474930562,0.05124836979350322,0.03725875491148494,4.808479048657778
23-02-19,Baraki,,,,,,,,,,
23-02-20,Baraki,,,,,,,,,,
23-02-21,Baraki,0.060579879560399764,0.14791149584675045,0.06726560933299709,0.03980741884857896,0.13692504095165312,0.08466646585679105,0.24099562307270514,0.07020249543122907,0.03997775779738727,4.402439024390244
23-02-22,Baraki,,,,,,,,,,
23-02-23,Baraki,0.057121203506976415,0.0882514681915088,0.057019955907134504,0.03884867788013304,0.18452292331217873,0.054407607464974965,0.3416436662047065,0.05755450593626539,0.042137128453115236,4.967137710848962
23-02-24,Baraki,,,,,,,,,,
23-02-25,Baraki,,,,,,,,,,
23-02-26,Baraki,,,,,,,,,,
23-02-27,Baraki,,,,,,,,,,
23-02-28,Baraki,,,,,,,,,,
23-03-01,Baraki,,,,,,,,,,
23-03-02,Baraki,,,,,,,,,,
23-03-03,Baraki,,,,,,,,,,
23-03-04,Baraki,,,,,,,,,,
23-03-05,Baraki,,,,,,,,,,
23-03-06,Baraki,,,,,,,,,,
23-03-07,Baraki,,,,,,,,,,
23-03-08,Baraki,0.0731121082351937,0.19822766680077658,0.07499784453831866,0.0371844567754741,0.11272394339680014,0.07997838399973965,0.21043670388627786,0.0613233038083798,0.036210320709673414,3.642776106151038
23-03-09,Baraki,,,,,,,,,,
23-03-10,Baraki,,,,,,,,,,
23-03-11,Baraki,,,,,,,,,,
23-03-12,Baraki,,,,,,,,,,
23-03-13,Baraki,,,,,,,,,,
23-03-14,Baraki,,,,,,,,,,
23-03-15,Baraki,0.05123956950223202,0.08609794961400632,0.07954608494802042,0.037077271369577,0.18097174884881193,0.056849554679059916,0.3310716135154921,0.04964574455146685,0.036229164525500415,4.849531274963023
23-03-16,Baraki,,,,,,,,,,
23-03-17,Baraki,,,,,,,,,,
23-03-18,Baraki,,,,,,,,,,
23-03-19,Baraki,,,,,,,,,,
23-03-20,Baraki,,,,,,,,,,
23-03-21,Baraki,,,,,,,,,,
23-03-22,Baraki,,,,,,,,,,
23-03-23,Baraki,0.061228378567886266,0.1674715695968039,0.07293664634815969,0.036494376880676825,0.14393239468340527,0.09065088831597726,0.2025833171106307,0.0740859461806997,0.034743201440705224,4.110400973902457
23-03-24,Baraki,,,,,,,,,,
23-03-25,Baraki,0.050872865854590645,0.08775985886427938,0.07482403223835872,0.036524459233919976,0.1849243120868371,0.058922300495196055,0.3250350447551737,0.05235427375404306,0.03663451184000042,4.845877332673665
23-03-26,Baraki,,,,,,,,,,
23-03-27,Baraki,,,,,,,,,,
23-03-28,Baraki,0.06168586370966239,0.1597525422368635,0.07064163207124059,0.03652209814280903,0.15489722416125018,0.09222152066752973,0.20128543378705882,0.07251313005995791,0.03635552918094108,4.060664887163308
23-03-29,Baraki,,,,,,,,,,
23-03-30,Baraki,0.05034886392496823,0.08063903332123298,0.07266919651388928,0.037106917801297164,0.184927316903246,0.05967060522487445,0.33449630378275025,0.05398759964719933,0.038613581866727684,4.896948962481116
23-03-31,Baraki,,,,,,,,,,
23-04-01,Baraki,,,,,,,,,,
23-04-02,Baraki,0.06657524079394839,0.11201709856848337,0.059224642657985306,0.04758781843766984,0.06945514803648824,0.10646049499175407,0.20605155502627093,0.19551969844097686,0.0725052638225154,5.894444444444444
23-04-03,Baraki,,,,,,,,,,
23-04-04,Baraki,,,,,,,,,,
23-04-05,Baraki,,,,,,,,,,
23-04-06,Baraki,,,,,,,,,,
23-04-07,Baraki,0.05952177511870311,0.1440905666217463,0.06825159449312222,0.03493164401686171,0.154494959955228,0.09679992742499949,0.21961958778308513,0.0738103791731428,0.036061919518333554,4.131781376518217
23-04-08,Baraki,,,,,,,,,,
23-04-09,Baraki,0.0486663492165202,0.08099079335850419,0.06951662700508533,0.03469628321217102,0.18249633543932892,0.06842169226725696,0.33386385623111603,0.05327502510707267,0.037911048104707086,4.90128686796848
23-04-10,Baraki,,,,,,,,,,
23-04-11,Baraki,,,,,,,,,,
23-04-12,Baraki,0.05989507993829323,0.14266701890256678,0.06423030864749076,0.035517581824231766,0.15791427922048132,0.09585472798459667,0.22402973236154503,0.07510079807551105,0.03612334907902624,4.2112452350698835
23-04-13,Baraki,,,,,,,,,,
23-04-14,Baraki,,,,,,,,,,
23-04-15,Baraki,,,,,,,,,,
