id_reg_nat,time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,id_area
375,2021-11-28,21.4,0.0,12.1,99,3.92,1
376,2021-11-29,20.1,0.0,12.5,64,3.91,1
377,2021-11-30,20.2,0.0,12.1,55,3.96,1
378,2021-12-01,20.6,0.0,15.6,41,3.73,1
379,2021-12-02,18.0,3.2,19.7,36,1.84,1
380,2021-12-03,19.4,2.3,18.1,67,2.85,1
381,2021-12-04,20.0,0.0,13.3,62,3.26,1
382,2021-12-05,20.7,0.0,13.8,58,3.24,1
383,2021-12-06,20.7,0.0,14.3,44,3.34,1
384,2021-12-07,19.5,0.0,13.7,52,3.14,1
385,2021-12-08,19.4,0.0,13.7,61,3.12,1
386,2021-12-09,19.6,0.5,15.5,60,3.15,1
387,2021-12-10,19.2,0.0,12.5,40,3.31,1
388,2021-12-11,17.6,0.0,10.6,62,3.04,1
389,2021-12-12,18.4,0.0,10.5,101,3.02,1
390,2021-12-13,19.4,0.0,11.7,130,3.27,1
391,2021-12-14,20.0,0.0,11.5,167,2.8,1
392,2021-12-15,20.0,0.0,9.2,165,2.74,1
393,2021-12-16,20.2,0.0,12.6,206,3.24,1
394,2021-12-17,18.5,0.0,15.2,8,2.91,1
395,2021-12-18,14.7,0.0,14.0,36,3.02,1
396,2021-12-19,12.9,0.0,11.8,56,3.14,1
397,2021-12-20,13.8,0.0,10.8,72,3.13,1
398,2021-12-21,15.8,0.0,10.3,125,3.06,1
399,2021-12-22,17.0,0.0,10.9,163,3.05,1
400,2021-12-23,18.3,0.0,10.9,179,3.5,1
401,2021-12-24,18.9,0.0,10.1,286,3.34,1
402,2021-12-25,17.8,0.0,11.6,43,3.19,1
403,2021-12-26,18.3,0.0,9.4,109,3.21,1
404,2021-12-27,18.5,0.0,11.1,112,3.15,1
405,2021-12-28,16.4,1.4,12.5,7,1.98,1
406,2021-12-29,14.6,0.6,13.1,32,1.83,1
407,2021-12-30,14.3,0.0,15.1,61,2.81,1
408,2021-12-31,15.1,0.0,12.7,69,2.65,1
409,2022-01-01,16.4,0.0,10.3,77,2.3,1
410,2022-01-02,17.1,0.0,10.2,71,2.61,1
411,2022-01-03,16.8,0.0,9.5,76,2.75,1
412,2022-01-04,18.0,0.0,9.9,108,3.01,1
413,2022-01-05,19.4,0.3,14.5,162,2.89,1
414,2022-01-06,18.7,16.5,17.2,250,2.68,1
415,2022-01-07,17.9,28.8,14.9,73,2.28,1
416,2022-01-08,18.2,12.2,14.1,144,2.43,1
417,2022-01-09,15.9,0.8,11.4,315,2.14,1
418,2022-01-10,14.0,0.0,11.9,12,2.68,1
419,2022-01-11,13.1,0.0,12.7,23,1.95,1
420,2022-01-12,12.9,0.0,10.4,12,2.57,1
421,2022-01-13,13.7,0.0,12.7,57,2.69,1
422,2022-01-14,14.8,0.0,13.7,46,2.53,1
423,2022-01-15,13.8,0.0,13.1,47,2.67,1
424,2022-01-16,14.3,0.0,10.7,60,2.69,1
425,2022-01-17,15.2,0.0,10.2,51,2.81,1
426,2022-01-18,14.8,0.0,8.7,2,2.8,1
427,2022-01-19,14.7,0.0,10.1,105,2.69,1
428,2022-01-20,18.4,0.0,16.8,259,3.69,1
429,2022-01-21,18.0,0.0,14.5,252,3.47,1
430,2022-01-22,17.9,1.0,22.7,235,2.46,1
431,2022-01-23,15.9,0.3,15.8,290,2.99,1
432,2022-01-24,13.7,0.0,12.2,15,3.15,1
433,2022-01-25,12.4,0.0,10.5,22,2.94,1
434,2022-01-26,12.3,0.0,10.5,24,2.91,1
435,2022-01-27,12.3,0.0,10.2,25,2.98,1
436,2022-01-28,12.9,0.0,10.7,60,3.14,1
437,2022-01-29,15.5,0.0,10.1,89,3.3,1
438,2022-01-30,17.7,0.0,11.2,247,3.96,1
439,2022-01-31,18.4,0.0,11.2,288,4.03,1
440,2022-02-01,19.0,0.0,11.7,289,3.98,1
441,2022-02-02,20.5,0.0,11.8,238,4.23,1
442,2022-02-03,20.2,0.0,30.7,252,5.55,1
443,2022-02-04,15.8,0.0,10.9,277,4.04,1
444,2022-02-05,16.5,0.0,10.6,339,4.07,1
445,2022-02-06,17.8,0.0,11.9,136,3.93,1
446,2022-02-07,18.7,0.0,12.6,261,4.28,1
447,2022-02-08,20.2,0.0,14.5,252,4.36,1
448,2022-02-09,19.7,0.0,16.7,316,4.66,1
449,2022-02-10,16.4,0.0,12.5,30,3.65,1
450,2022-02-11,15.8,0.0,10.1,31,3.65,1
451,2022-02-12,16.6,0.0,11.5,61,3.92,1
452,2022-02-13,17.8,0.0,10.7,74,4.06,1
453,2022-02-14,19.8,0.0,11.3,88,4.06,1
454,2022-02-15,20.1,0.0,16.6,131,4.57,1
455,2022-02-16,19.4,0.0,12.3,55,4.29,1
456,2022-02-17,20.1,0.0,13.8,73,5.04,1
457,2022-02-18,21.5,0.0,14.0,95,4.31,1
458,2022-02-19,21.8,0.0,12.3,269,4.01,1
459,2022-02-20,20.4,0.0,16.6,299,5.36,1
460,2022-02-21,21.1,0.0,11.3,261,5.11,1
461,2022-02-22,22.6,0.0,13.9,211,5.3,1
462,2022-02-23,23.6,0.0,14.3,237,5.51,1
463,2022-02-24,22.7,0.0,14.1,308,5.69,1
464,2022-02-25,21.7,0.0,13.9,92,5.0,1
465,2022-02-26,23.2,0.0,18.3,197,5.92,1
466,2022-02-27,23.1,0.0,16.8,21,5.28,1
467,2022-02-28,21.7,0.0,15.4,31,4.69,1
468,2022-03-01,22.0,0.0,12.9,54,5.04,1
469,2022-03-02,21.9,0.0,13.9,84,5.29,1
470,2022-03-03,23.5,0.0,13.4,165,4.99,1
471,2022-03-04,23.3,0.0,14.2,342,5.55,1
472,2022-03-05,22.1,0.0,12.2,13,5.48,1
473,2022-03-06,22.5,0.0,12.2,69,5.44,1
